universityid,city,state,level,institution_type,specific_college_type,website
119137,Moorpark,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.moorparkcollege.eduindex.shtml
119164,Walnut,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.mtsac.edu
119173,Los Angeles,California,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.msmc.la.edu
119216,San Jacinto,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.msjc.edu
119270,Hollywood,California,4-year,Private for-profit,Schools of art- music- and design,www.mi.edu
119331,Napa,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.napavalley.edu
119359,Reseda,California,2-year,Private for-profit,Not applicable- not in Carnegie universe,www.everest.educampusreseda
119508,San Bernardino,California,2-year,Private for-profit,Associates--Private For-profit,everest.educampussan_bernardino
119544,San Jose,California,4-year,Private for-profit,Baccalaureate Colleges--Arts & Sciences,www.nhu.edu
119605,La Jolla,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.nu.edu
119775,San Diego,California,4-year,Private for-profit,Schools of art- music- and design,www.newschoolarch.edu
120184,Belmont,California,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.ndnu.edu
120254,Los Angeles,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.oxy.edu
120290,Fremont,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.ohlone.edu
120342,Costa Mesa,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.orangecoastcollege.edu
120403,Los Angeles,California,4-year,Private not-for-profit,Schools of art- music- and design,www.otis.edu
120421,Oxnard,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.oxnardcollege.edu
120537,Fullerton,California,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.hiu.edu
120661,San Diego,California,2-year,Private for-profit,Associates--Private For-profit,www.concorde.edu
120865,Angwin,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.puc.edu
120883,Stockton,California,4-year,Private not-for-profit,Doctoral/Research Universities,www.pacific.edu
120953,Blythe,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.paloverde.edu
120971,San Marcos,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.palomar.edu
121044,Pasadena,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.pasadena.edu
121150,Malibu,California,4-year,Private not-for-profit,Doctoral/Research Universities,www.pepperdine.edu
121257,Claremont,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.pitzer.edu
121275,San Diego,California,4-year,Private for-profit,Schools of art- music- and design,www.platt.edu
121309,San Diego,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.pointloma.edu
121345,Claremont,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.pomona.edu
121363,Porterville,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.portervillecollege.edu
121381,Torrance,California,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.westwood.edu
121619,Santa Ana,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.sac.edu
121691,Redlands,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.redlands.edu
121707,Eureka,California,2-year,Public,Associates--Public Rural-serving Large,www.redwoods.edu
121886,Whittier,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.riohondo.edu
121901,Riverside,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.rcc.eduriverside
122180,Sacramento,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.scc.losrios.edu
122205,Mission Viejo,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.saddleback.edu
122339,San Diego,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.sdcity.edu
122366,Carlsbad,California,2-year,Private for-profit,Associates--Private For-profit,www.golfacademy.edu
122375,San Diego,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.sdmesa.edu
122384,San Diego,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.sdmiramar.edu
122409,San Diego,California,4-year,Public,Research Universities--high research activity,www.sdsu.edu
122436,San Diego,California,4-year,Private not-for-profit,Doctoral/Research Universities,www.sandiego.edu
122454,San Francisco,California,4-year,Private not-for-profit,Schools of art- music- and design,www.sfai.edu
122506,San Francisco,California,4-year,Private not-for-profit,Schools of art- music- and design,www.sfcm.edu
122597,San Francisco,California,4-year,Public,Masters Colleges and Universities--larger programs,www.sfsu.edu
122612,San Francisco,California,4-year,Private not-for-profit,Doctoral/Research Universities,www.usfca.edu
122658,Stockton,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.deltacollege.edu
122685,Visalia,California,2-year,Private for-profit,Associates--Private For-profit,www.sjvc.edu
122694,Bakersfield,California,2-year,Private for-profit,Associates--Private For-profit,www.sjvc.edu
122728,Rocklin,California,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.jessup.edu
122746,San Jose,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.sjcc.edu
122755,San Jose,California,4-year,Public,Masters Colleges and Universities--larger programs,www.sjsu.edu
122791,San Mateo,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.collegeofsanmateo.edu
122834,Bakersfield,California,4-year,Private for-profit,Associates--Private For-profit,sbbcollege.edu
122843,Los Angeles,California,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.westwood.edu
122852,Santa Maria,California,4-year,Private for-profit,Associates--Private For-profit,sbbcollege.edu
122889,Santa Barbara,California,2-year,Public,Associates--Public Rural-serving Large,www.sbcc.edu
122931,Santa Clara,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.scu.edu
122977,Santa Monica,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.smc.edu
123013,Santa Rosa,California,2-year,Public,Associates--Public Rural-serving Large,www.santarosa.edu
123165,Claremont,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.scrippscollege.edu
123208,Fremont,California,2-year,Private for-profit,Associates--Private For-profit,www.wyotech.educampusfremont
123217,Visalia,California,2-year,Public,Associates--Public Rural-serving Large,www.cos.edu
123299,Redding,California,2-year,Public,Associates--Public Rural-serving Large,www.shastacollege.edu
123341,Rocklin,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.sierracollege.edu
123457,Redding,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.simpsonu.edu
123484,Weed,California,2-year,Public,Associates--Public Rural-serving Medium,www.siskiyous.edu
123509,San Bruno,California,2-year,Public,Associates--Public Suburban-serving Multicampus,skylinecollege.edu
123527,San Bernardino,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.valleycollege.edu
123554,Moraga,California,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.stmarys-ca.edu
123563,Fairfield,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.solano.edu
123572,Rohnert Park,California,4-year,Public,Masters Colleges and Universities--larger programs,www.sonoma.edu
123642,Orange,California,2-year,Private for-profit,Associates--Private For-profit,southcoastcollege.com
123651,Costa Mesa,California,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.vanguard.edu
123679,Garden Grove,California,2-year,Private for-profit,Associates--Private For-profit,www.concorde.edu
123800,Chula Vista,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.swccd.edu
123952,Los Angeles,California,4-year,Private not-for-profit,Schools of art- music- and design,www.sciarc.edu
123961,Los Angeles,California,4-year,Private not-for-profit,Research Universities--very high research activity,www.usc.edu
124113,Taft,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.taftcollege.edu
124292,Santa Paula,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.thomasaquinas.edu
124487,Sacramento,California,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,epic.edu
124681,Huntington Park,California,2-year,Private for-profit,Not applicable- not in Carnegie universe,www.uei.edu
124706,San Bernardino,California,2-year,Private for-profit,Associates--Private For-profit,www.concorde.edu
124937,North Hollywood,California,2-year,Private for-profit,Associates--Private For-profit,www.concorde.edu
125028,Ventura,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.venturacollege.edu
125091,Victorville,California,2-year,Public,Associates--Public Suburban-serving Single Campus,www.vvc.edu
125170,Berkeley,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.berkeleycitycollege.eduwp
125231,Minneapolis,Minnesota,4-year,Private for-profit,Doctoral/Research Universities,www.waldenu.edu
125462,Coalinga,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.westhillscollege.com
125471,Culver City,California,2-year,Public,Associates--Public Urban-serving Multicampus,www.wlac.edu
125499,Saratoga,California,2-year,Public,Associates--Public Suburban-serving Multicampus,www.westvalley.edu
125532,Sacramento,California,2-year,Private for-profit,Associates--Private For-profit,www.carrington.edu
125727,Santa Barbara,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.westmont.edu
125763,Whittier,California,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.whittier.edu
125897,Burbank,California,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,woodbury.edu
126076,Los Angeles,California,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.yoec.edu
126119,Marysville,California,2-year,Public,Associates--Public Rural-serving Large,yc.yccd.edu
126182,Alamosa,Colorado,4-year,Public,Masters Colleges and Universities--medium programs,www.adams.edu
126207,Greeley,Colorado,2-year,Public,Associates--Public Rural-serving Medium,www.aims.edu
126289,Littleton,Colorado,2-year,Public,Associates--Public Suburban-serving Multicampus,www.arapahoe.edu
126359,Denver,Colorado,2-year,Private for-profit,Associates--Private For-profit,www.bel-rea.com
126401,Colorado Springs,Colorado,2-year,Private for-profit,Associates--Private For-profit,www.everest.educampuscolorado_springs
126562,Denver,Colorado,4-year,Public,Research Universities--high research activity,www.ucdenver.edu
126580,Colorado Springs,Colorado,4-year,Public,Masters Colleges and Universities--larger programs,www.uccs.edu
126605,Broomfield,Colorado,2-year,Private for-profit,Associates--Private For-profit,www.redstone.edu
126614,Boulder,Colorado,4-year,Public,Research Universities--very high research activity,www.colorado.edu
126669,Lakewood,Colorado,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.ccu.edu
126678,Colorado Springs,Colorado,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.coloradocollege.edu
126687,Aurora,Colorado,2-year,Private for-profit,Associates--Private For-profit,www.concorde.edu
126702,Denver,Colorado,4-year,Private for-profit,Schools of art- music- and design,www.artinstitutes.edudenver
126711,Glenwood Springs,Colorado,4-year,Public,Associates--Public Rural-serving Large,www.coloradomtn.edu
126748,Rangely,Colorado,2-year,Public,Associates--Public Rural-serving Medium,www.cncc.edu
126775,Golden,Colorado,4-year,Public,Research Universities--high research activity,www.mines.edu
126784,Lakewood,Colorado,2-year,Private for-profit,Associates--Private For-profit,schooloftrades.edu
126818,Fort Collins,Colorado,4-year,Public,Research Universities--very high research activity,www.colostate.edu
126827,Colorado Springs,Colorado,4-year,Private for-profit,Doctoral/Research Universities,www.coloradotech.educolorado-springs
126863,Aurora,Colorado,2-year,Public,Associates--Public Suburban-serving Multicampus,www.ccaurora.edu
126872,Denver,Colorado,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,www.collegeamerica.edu
126924,Westminster,Colorado,2-year,Private for-profit,Associates--Private For-profit,www.princeinstitute.edu
126942,Denver,Colorado,2-year,Public,Associates--Public Urban-serving Multicampus,www.ccd.edu
126951,Denver,Colorado,2-year,Private for-profit,Associates--Private For-profit,www.lincolnedu.com
127024,Denver,Colorado,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.westwood.edu
127060,Denver,Colorado,4-year,Private not-for-profit,Research Universities--high research activity,www.du.edu
127185,Durango,Colorado,4-year,Public,Baccalaureate Colleges--Arts & Sciences,fortlewis.edu
127200,Westminster,Colorado,2-year,Public,Associates--Public Suburban-serving Multicampus,www.frontrange.edu
127389,Lamar,Colorado,2-year,Public,Associates--Public Rural-serving Small,www.lamarcc.edu
127556,Grand Junction,Colorado,4-year,Public,Baccalaureate Colleges--Arts & Sciences,www.coloradomesa.edu
127565,Denver,Colorado,4-year,Public,Baccalaureate Colleges--Diverse Fields,www.msudenver.edu
127617,Fort  Morgan,Colorado,2-year,Public,Associates--Public Rural-serving Medium,www.morgancc.edu
127653,Boulder,Colorado,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.naropa.edu
127680,Colorado Springs,Colorado,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.national.edulocationscoloradocolorado-springs
127699,Denver,Colorado,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.national.edulocationscoloradodenver
127714,Colorado Springs,Colorado,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.nbc.edu
127732,Sterling,Colorado,2-year,Public,Associates--Public Rural-serving Medium,www.njc.edu
127741,Greeley,Colorado,4-year,Public,Doctoral/Research Universities,www.unco.edu
127778,La Junta,Colorado,2-year,Public,Associates--Public Rural-serving Small,www.ojc.edu
127787,Thornton,Colorado,2-year,Private for-profit,Associates--Private For-profit,www.everest.educampusthornton
127820,Colorado Springs,Colorado,2-year,Public,Associates--Public Urban-serving Multicampus,www.ppcc.edu
127839,Colorado Springs,Colorado,2-year,Private for-profit,Associates--Private For-profit,www.intellitecmedical.edu
127884,Pueblo,Colorado,2-year,Public,Associates--Public Rural-serving Large,www.pueblocc.edu
127909,Lakewood,Colorado,2-year,Public,Associates--Public Suburban-serving Multicampus,www.rrcc.edu
127918,Denver,Colorado,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.regis.edu
127945,Lakewood,Colorado,4-year,Private for-profit,Schools of art- music- and design,www.rmcad.edu
128106,Pueblo,Colorado,4-year,Public,Masters Colleges and Universities--smaller programs,www.colostate-pueblo.edu
128179,Colorado Springs,Colorado,2-year,Private for-profit,Associates--Private For-profit,www.intelliteccollege.edu
128188,Grand Junction,Colorado,2-year,Private for-profit,Associates--Private For-profit,www.intellitec.edu
128258,Trinidad,Colorado,2-year,Public,Associates--Public Rural-serving Medium,www.trinidadstate.edu
128391,Gunnison,Colorado,4-year,Public,Baccalaureate Colleges--Arts & Sciences,www.western.edu
128498,New Haven,Connecticut,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.albertus.edu
128577,Enfield,Connecticut,2-year,Public,Associates--Public Suburban-serving Single Campus,www.asnuntuck.edu
128683,Southington,Connecticut,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.lincolncollegene.edu
128744,Bridgeport,Connecticut,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.bridgeport.edu
128771,New Britain,Connecticut,4-year,Public,Masters Colleges and Universities--larger programs,www.ccsu.edu
128902,New London,Connecticut,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.connecticutcollege.edu
129020,Storrs,Connecticut,4-year,Public,Research Universities--very high research activity,uconn.edu
129154,East Hartford,Connecticut,4-year,Private not-for-profit,Associates--Private Not-for-profit,www.goodwin.edu
129215,Willimantic,Connecticut,4-year,Public,Masters Colleges and Universities--smaller programs,www.easternct.edu
129242,Fairfield,Connecticut,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,fairfield.edu
129367,Hartford,Connecticut,2-year,Public,Associates--Public Urban-serving Single Campus,www.ccc.commnet.edu
129525,West Hartford,Connecticut,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.hartford.edu
129543,Bridgeport,Connecticut,2-year,Public,Associates--Public Rural-serving Medium,www.hcc.commnet.edu
129695,Manchester,Connecticut,2-year,Public,Associates--Public Suburban-serving Single Campus,www.mcc.commnet.edu
129729,Waterbury,Connecticut,2-year,Public,Associates--Public Rural-serving Large,www.nv.edu
129756,Middletown,Connecticut,2-year,Public,Associates--Public Suburban-serving Single Campus,www.mxcc.commnet.edu
129774,New London,Connecticut,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.mitchell.edu
129808,Norwich,Connecticut,2-year,Public,Associates--Public Rural-serving Medium,www.trcc.commnet.edu
129941,West Haven,Connecticut,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.newhaven.edu
130004,Norwalk,Connecticut,2-year,Public,Associates--Public Rural-serving Large,www.ncc.commnet.edu
130040,Winsted,Connecticut,2-year,Public,Associates--Public Suburban-serving Single Campus,www.nwcc.commnet.edu
130110,Hamden,Connecticut,4-year,Private for-profit,Schools of art- music- and design,www.paiercollegeofart.edu
130183,Waterbury,Connecticut,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.post.edu
130217,Danielson,Connecticut,2-year,Public,Associates--Public Rural-serving Medium,www.qvcc.edu
130226,Hamden,Connecticut,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.quinnipiac.edu
130253,Fairfield,Connecticut,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.sacredheart.edu
130314,West Hartford,Connecticut,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.usj.edu
130396,New Haven,Connecticut,2-year,Public,Associates--Public Urban-serving Multicampus,www.gwcc.commnet.edu
130448,Bridgeport,Connecticut,4-year,Private not-for-profit,Associates--Private Not-for-profit,www.stvincentscollege.edu
130493,New Haven,Connecticut,4-year,Public,Masters Colleges and Universities--larger programs,www.southernct.edu
130590,Hartford,Connecticut,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.trincoll.edu
130606,Farmington,Connecticut,2-year,Public,Associates--Public Suburban-serving Single Campus,www.tunxis.edu
130697,Middletown,Connecticut,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.wesleyan.edu
130776,Danbury,Connecticut,4-year,Public,Masters Colleges and Universities--medium programs,www.wcsu.edu
130794,New Haven,Connecticut,4-year,Private not-for-profit,Research Universities--very high research activity,www.yale.edu
130891,Georgetown,Delaware,2-year,Public,Associates--Public Rural-serving Medium,https:www.dtcc.eduour-campusesgeorgetown
130907,Dover,Delaware,2-year,Public,Associates--Public Rural-serving Medium,https:www.dtcc.eduour-campusesdover
130916,Wilmington,Delaware,2-year,Public,Associates--Public Urban-serving Multicampus,https:www.dtcc.eduour-campuseswilmington
130934,Dover,Delaware,4-year,Public,Masters Colleges and Universities--medium programs,www.desu.edu
130943,Newark,Delaware,4-year,Public,Research Universities--very high research activity,www.udel.edu
130989,Wilmington,Delaware,4-year,Private not-for-profit,Schools of business and management,www.gbc.edu
131098,Dover,Delaware,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.wesley.edu
131113,New Castle,Delaware,4-year,Private not-for-profit,Doctoral/Research Universities,www.wilmu.edu
131159,Washington,District of Columbia,4-year,Private not-for-profit,Doctoral/Research Universities,www.american.edu
131283,Washington,District of Columbia,4-year,Private not-for-profit,Research Universities--high research activity,www.cua.edu
131308,Washington,District of Columbia,4-year,Private not-for-profit,Schools of art- music- and design,www.corcoran.edu
131399,Washington,District of Columbia,4-year,Public,Masters Colleges and Universities--smaller programs,www.udc.edu
131450,Washington,District of Columbia,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.gallaudet.edu
131469,Washington,District of Columbia,4-year,Private not-for-profit,Research Universities--very high research activity,www.gwu.edu
131496,Washington,District of Columbia,4-year,Private not-for-profit,Research Universities--very high research activity,www.georgetown.edu
131520,Washington,District of Columbia,4-year,Private not-for-profit,Research Universities--high research activity,www.howard.edu
131742,Falls Church,Virginia,2-year,Private for-profit,Associates--Private For-profit,medtech.edu
131803,Washington,District of Columbia,4-year,Private for-profit,Masters Colleges and Universities--larger programs,www.strayer.edudistrict-columbiawashington
131876,Washington,District of Columbia,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.trinitydc.edu
132338,Fort Lauderdale,Florida,4-year,Private for-profit,Schools of art- music- and design,www.aifl.edu
132408,Graceville,Florida,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.baptistcollege.edu
132471,Miami,Florida,4-year,Private not-for-profit,Doctoral/Research Universities,www.barry.edu
132602,Daytona Beach,Florida,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.cookman.edu
132657,Boca Raton,Florida,4-year,Private not-for-profit,Doctoral/Research Universities,www.lynn.edu
132693,Cocoa,Florida,4-year,Public,Associates--Public Rural-serving Large,www.easternflorida.edu
132709,Fort Lauderdale,Florida,4-year,Public,Associates--Public Urban-serving Multicampus,www.broward.edu
132806,Winter Park,Florida,2-year,Private for-profit,Associates--Private For-profit,www.fortis.edu
132842,Miami,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.mia.albizu.edu
132851,Ocala,Florida,4-year,Public,Associates--Public Rural-serving Large,www.cf.edu
132879,Kissimmee,Florida,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.fcc.edu
132903,Orlando,Florida,4-year,Public,Research Universities--very high research activity,www.ucf.edu
133021,Marianna,Florida,4-year,Public,Associates--Public 4-year Primarily Associates,www.chipola.edu
133085,Clearwater,Florida,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.clearwater.edu
133386,Daytona Beach,Florida,4-year,Public,Associates--Public 4-year Primarily Associates,www.daytonastate.edu
133465,Royal Palm Beach,Florida,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.southuniversity.edu
133492,Saint Petersburg,Florida,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.eckerd.edu
133508,Fort Myers,Florida,4-year,Public,Associates--Public 4-year Primarily Associates,www.edison.edu
133526,Jacksonville,Florida,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.ewc.edu
133553,Daytona Beach,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.erau.edu
133650,Tallahassee,Florida,4-year,Public,Doctoral/Research Universities,www.famu.edu
133669,Boca Raton,Florida,4-year,Public,Research Universities--high research activity,www.fau.edu
133702,Jacksonville,Florida,4-year,Public,Associates--Public 4-year Primarily Associates,www.fscj.edu
133711,Saint Augustine,Florida,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.flagler.edu
133809,Temple Terrace,Florida,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,www.floridacollege.edu
133845,Jacksonville,Florida,2-year,Private for-profit,Associates--Private For-profit,www.concorde.edu
133854,Miramar,Florida,2-year,Private for-profit,Not applicable- not in Carnegie universe,www.concorde.edu
133863,Tampa,Florida,2-year,Private for-profit,Not applicable- not in Carnegie universe,www.concorde.edu
133872,Orlando,Florida,4-year,Private not-for-profit,Other health professions schools,www.adu.edu
133881,Melbourne,Florida,4-year,Private not-for-profit,Doctoral/Research Universities,www.fit.edu
133951,Miami,Florida,4-year,Public,Research Universities--high research activity,www.fiu.edu
133960,Key West,Florida,2-year,Public,Associates--Public Rural-serving Small,www.fkcc.edu
133979,Miami Gardens,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.fmuniv.edu
133997,Miami,Florida,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,www.careercollege.edu
134079,Lakeland,Florida,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.flsouthern.edu
134097,Tallahassee,Florida,4-year,Public,Research Universities--very high research activity,www.fsu.edu
134112,Orlando,Florida,4-year,Private for-profit,Associates--Private For-profit,www.ftccollege.edu
134121,Jacksonville,Florida,4-year,Private for-profit,Associates--Private For-profit,www.usmf.edu
134130,Gainesville,Florida,4-year,Public,Research Universities--very high research activity,www.ufl.edu
134149,Pompano Beach,Florida,4-year,Private for-profit,Masters Colleges and Universities--smaller programs,www.everest.educampuspompano_beach
134237,Winter Park,Florida,4-year,Private for-profit,Masters Colleges and Universities--larger programs,www.fullsail.edu
134343,Panama City,Florida,4-year,Public,Associates--Public Rural-serving Large,www.gulfcoast.edudefault.htm
134495,Tampa,Florida,2-year,Public,Associates--Public Urban-serving Multicampus,www.hccfl.edu
134510,Hobe Sound,Florida,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.hsbc.edu
134608,Fort Pierce,Florida,4-year,Public,Associates--Public 4-year Primarily Associates,www.irsc.edu
134680,Tampa,Florida,4-year,Private for-profit,Schools of art- music- and design,www.iadt.edutampa
134811,Miami,Florida,4-year,Private for-profit,Schools of art- music- and design,www.artinstitutes.edumiami
134909,Tampa,Florida,4-year,Private for-profit,Other technology-related schools,www.itt-tech.edu
134945,Jacksonville,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.jacksonville.edu
135063,Jacksonville,Florida,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.jones.edu
135081,Fort Lauderdale,Florida,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,www.keiseruniversity.edu
135124,Fort Myers,Florida,2-year,Private for-profit,Associates--Private For-profit,heritage-education.com
135160,Lake City,Florida,4-year,Public,Associates--Public Rural-serving Medium,https:www.fgc.edu
135188,Leesburg,Florida,4-year,Public,Associates--Public Suburban-serving Multicampus,www.lssc.edu
135364,Lithonia,Georgia,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.lru.edu
135391,Bradenton,Florida,4-year,Public,Associates--Public Urban-serving Multicampus,www.scf.edu
135717,Miami,Florida,4-year,Public,Associates--Public 4-year Primarily Associates,www.mdc.edumain
135726,Coral Gables,Florida,4-year,Private not-for-profit,Research Universities--very high research activity,www.miami.edu
135939,Tampa,Florida,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,www.remingtoncollege.edutampa-technical-school-overview
135957,Miami,Florida,2-year,Private for-profit,Associates--Private For-profit,www.everest.educampusmiami
136066,West Palm Beach,Florida,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,www.lincolntech.com
136145,Madison,Florida,2-year,Public,Associates--Public Rural-serving Small,www.nfcc.edu
136172,Jacksonville,Florida,4-year,Public,Masters Colleges and Universities--larger programs,www.unf.edu
136206,West Palm Beach,Florida,4-year,Private not-for-profit,Schools of business and management,www.northwood.edu
136215,Fort Lauderdale,Florida,4-year,Private not-for-profit,Research Universities--high research activity,www.nova.edu
136233,Niceville,Florida,4-year,Public,Associates--Public 4-year Primarily Associates,www.nwfsc.edu
136288,Orlando,Florida,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.everest.educampusnorth_orlando
136330,West Palm Beach,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.pba.edu
136358,Lake Worth,Florida,4-year,Public,Associates--Public Suburban-serving Multicampus,www.palmbeachstate.edu
136400,New Port Richey,Florida,2-year,Public,Associates--Public Suburban-serving Multicampus,www.phcc.edu
136473,Pensacola,Florida,4-year,Public,Associates--Public Rural-serving Large,www.pensacolastate.edu
136516,Winter Haven,Florida,4-year,Public,Associates--Public Rural-serving Large,www.polk.edu
136774,Sarasota,Florida,4-year,Private not-for-profit,Schools of art- music- and design,www.ringling.edu
136950,Winter Park,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.rollins.edu
137032,Saint Leo,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.saintleo.edu
137078,Clearwater,Florida,4-year,Public,Baccalaureate/Associates Colleges,www.spcollege.edu
137096,Gainesville,Florida,4-year,Public,Associates--Public Rural-serving Large,www.sfcollege.edu
137148,Sarasota,Florida,4-year,Private for-profit,Doctoral/Research Universities,www.argosy.edusarasota
137209,Sanford,Florida,4-year,Public,Associates--Public Suburban-serving Single Campus,www.seminolestate.edu
137281,Palatka,Florida,4-year,Public,Associates--Public Rural-serving Large,www.sjrstate.edu
137315,Avon Park,Florida,4-year,Public,Associates--Public Rural-serving Medium,www.southflorida.edu
