university_id,state,student count,awards_per_value,awards_per_state_value,fte_value
144209,Illinois,9036,7.9,14.6,6987
144218,Illinois,12640,11.2,14.6,8683
144281,Illinois,9671,21.7,24.2,9340
144351,Illinois,1604,19.1,24.2,1427
144467,Illinois,958,27.6,34.4,1590
144485,Illinois,590,36.3,34.4,1549
144564,Illinois,4035,17.4,14.6,2229
144740,Illinois,16420,23.3,24.2,15773
144865,Illinois,28627,11.9,14.6,18910
144883,Illinois,684,16.7,24.2,780
144892,Illinois,8347,25.3,24.3,8235
144944,Illinois,11285,17.1,14.6,8173
144962,Illinois,2900,24.4,24.2,3200
144971,Illinois,692,22.2,24.2,719
145239,Illinois,387,47.4,34.4,434
145372,Illinois,1129,27,24.2,1232
145460,Illinois,381,30.9,28.6,377
145497,Illinois,521,5.9,24.2,515
145521,Illinois,2031,24.2,14.6,1383
145600,Illinois,16671,23.1,24.3,15972
145619,Illinois,3828,24.7,24.2,3601
145637,Illinois,32695,22.3,24.3,34295
145646,Illinois,2009,22.4,24.2,2010
145682,Illinois,10770,19.5,14.6,7158
145691,Illinois,1010,20.1,24.2,1033
145707,Illinois,1470,37.6,14.6,1260
145725,Illinois,2926,20.5,24.2,2825
145770,Illinois,296,9.5,28.6,238
145813,Illinois,17749,25.3,24.3,17086
145831,Illinois,3705,21.6,14.6,2747
146010,Illinois,346,22.6,28.6,514
146205,Illinois,7150,19.2,14.6,3995
146278,Illinois,1923,23.3,14.6,1633
146296,Illinois,16869,15.2,14.6,11401
146339,Illinois,1066,24.4,24.2,1017
146348,Illinois,3825,16,14.6,2969
146366,Illinois,5258,22.3,14.6,3867
146393,Illinois,1659,25.4,28.6,1651
146418,Illinois,4717,18,14.6,3356
146427,Illinois,1424,22.8,24.2,1408
146472,Illinois,17685,15,14.6,11041
146481,Illinois,1590,20.7,24.2,1590
146506,Illinois,6351,17.5,14.6,7499
146603,Illinois,8520,21.4,14.6,4189
146612,Illinois,4613,24.7,24.2,4313
146667,Illinois,623,24.3,24.2,569
146676,Illinois,1240,27.2,24.2,1124
146685,Illinois,7020,17,14.6,5460
146700,Illinois,617,60.7,34.4,983
146719,Illinois,10168,22.2,24.2,10138
146755,Illinois,234,46,24.2,172
146816,Illinois,215,19.4,26.8,150
146825,Illinois,571,19.7,24.2,562
147004,Illinois,7023,16.2,14.6,4886
147013,Illinois,2358,25.3,24.2,2046
147129,Illinois,508,26.5,24.2,619
147165,Illinois,543,35,28.6,453
147244,Illinois,2153,21.5,24.2,2305
147341,Illinois,1255,21.6,24.2,1252
147369,Illinois,3103,18.3,24.2,2813
147378,Illinois,16106,15.8,14.6,12008
147396,Illinois,103,39.8,26.8,45
147411,Illinois,4886,14.9,14.6,3236
147536,Illinois,1427,48.4,24.2,1143
147660,Illinois,2797,22.2,24.2,2686
147679,Illinois,2204,23.6,24.2,2009
147703,Illinois,15814,25.6,24.3,14566
147749,Illinois,430,19.6,34.4,429
147767,Illinois,9283,26.5,24.2,9017
147776,Illinois,8950,23.8,24.3,6849
147800,Illinois,10866,8.8,14.6,7271
147828,Illinois,3335,22.6,24.2,3347
147916,Illinois,8437,12.1,14.6,7326
148007,Illinois,5064,9.8,14.6,4050
148131,Illinois,1196,19.9,24.2,1193
148140,Illinois,200,45,34.4,310
148177,Illinois,2322,18.9,28.6,2419
148256,Illinois,2714,30.9,14.6,2778
148292,Illinois,3340,28.6,14.6,2434
148335,Illinois,2781,42.5,24.2,3546
148380,Illinois,8150,18,14.6,6269
148399,Illinois,484,27.6,34.4,546
148405,Illinois,972,25.3,24.2,942
148487,Illinois,3658,30.1,24.2,3073
148496,Illinois,2069,21.5,24.2,1861
148584,Illinois,1780,26.4,24.2,1543
148627,Illinois,2920,25.7,24.2,2594
148654,Illinois,3039,28.1,24.3,2436
148672,Illinois,2220,17.5,14.6,1719
148821,Illinois,1834,18.7,14.6,1787
148849,Illinois,97,17.6,24.2,109
148876,Illinois,1607,31.7,24.2,1176
148937,Illinois,1930,19.7,14.6,1473
148991,Illinois,1784,21.6,14.6,1118
149222,Illinois,13306,32.2,24.3,11780
149231,Illinois,11229,21.1,24.3,10364
149310,Illinois,257,11.2,34.4,401
149365,Illinois,5212,9,14.6,3972
149505,Illinois,1333,24,24.2,1185
149514,Illinois,906,19.6,24.2,852
149532,Illinois,11225,12.1,14.6,8817
149639,Illinois,133,17.9,24.2,129
149727,Illinois,10721,14.5,14.6,7698
149772,Illinois,9873,24.4,24.3,9526
149781,Illinois,2444,24,24.2,2616
149842,Illinois,14830,15.5,14.6,10800
150048,Indiana,424,28,28,236
150066,Indiana,2016,20.1,23.8,2043
150136,Indiana,16300,20,20.4,16423
150145,Indiana,1655,31.4,23.8,1612
150163,Indiana,4051,19.7,23.8,3920
150172,Indiana,988,34.9,23.8,625
150251,Indiana,265,7.1,40.4,221
150400,Indiana,2304,22.6,23.8,2360
150455,Indiana,1064,22.7,23.8,1076
150534,Indiana,2477,20.3,23.8,2621
150604,Indiana,1014,23.7,23.8,1061
150668,Indiana,828,25.4,23.8,884
