universityid,level,institution_type,specific_college_type
420538,2-year,Public,Associates--Public 2-year colleges under 4-year universities
420556,2-year,Public,Associates--Public Rural-serving Small
420723,2-year,Public,Associates--Public Rural-serving Small
421009,4-year,Private for-profit,Schools of business and management
421018,4-year,Private for-profit,Masters Colleges and Universities--larger programs
421513,2-year,Private for-profit,Associates--Private For-profit
421708,2-year,Private for-profit,Associates--Private For-profit
421832,4-year,Private for-profit,Associates--Private For-profit
421878,2-year,Private for-profit,Associates--Private For-profit
422020,2-year,Private for-profit,Associates--Private For-profit
422695,4-year,Private for-profit,Associates--Private For-profit
423652,2-year,Public,Associates--Public Rural-serving Small
423980,2-year,Private for-profit,Associates--Private For-profit
426314,4-year,Private not-for-profit,Other technology-related schools
427663,4-year,Private for-profit,Associates--Private For-profit
427973,2-year,Private for-profit,Associates--Private For-profit
427982,2-year,Private for-profit,Associates--Private For-profit
428170,2-year,Private for-profit,Associates--Private For-profit
428268,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
428286,4-year,Private for-profit,Schools of art- music- and design
428329,2-year,Private for-profit,Associates--Private For-profit
428392,2-year,Public,Associates--Public Rural-serving Small
428444,4-year,Private for-profit,Schools of art- music- and design
429128,2-year,Private not-for-profit,Associates--Private Not-for-profit
429599,4-year,Private for-profit,Other technology-related schools
430050,2-year,Private for-profit,Associates--Private For-profit
430087,4-year,Private for-profit,Masters Colleges and Universities--medium programs
430148,2-year,Private for-profit,Associates--Private For-profit
430157,2-year,Private for-profit,Associates--Private For-profit
430166,2-year,Private for-profit,Associates--Private For-profit
430184,4-year,Private for-profit,Not applicable- not in Carnegie universe
430263,4-year,Private for-profit,Other technology-related schools
430351,2-year,Private for-profit,Associates--Private For-profit
430360,2-year,Private for-profit,Associates--Private For-profit
430379,4-year,Private for-profit,Associates--Private For-profit
430388,4-year,Private for-profit,Associates--Private For-profit
430485,4-year,Private for-profit,Schools of art- music- and design
430795,2-year,Public,Associates--Public Rural-serving Small
430810,4-year,Private not-for-profit,Schools of art- music- and design
431141,2-year,Private for-profit,Associates--Private For-profit
431886,2-year,Private for-profit,Associates--Private For-profit
432223,4-year,Private for-profit,Schools of business and management
432232,4-year,Private for-profit,Masters Colleges and Universities--larger programs
432241,4-year,Private for-profit,Masters Colleges and Universities--medium programs
432302,2-year,Private for-profit,Associates--Private For-profit
432384,4-year,Private for-profit,Baccalaureate/Associates Colleges
432524,2-year,Private not-for-profit,Associates--Private Not-for-profit
432533,4-year,Private for-profit,Schools of art- music- and design
433004,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
433013,2-year,Private for-profit,Associates--Private For-profit
433174,2-year,Public,Associates--Public Special Use
433387,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
433420,4-year,Private for-profit,Associates--Private For-profit
433536,4-year,Private for-profit,Baccalaureate/Associates Colleges
433563,2-year,Private for-profit,Associates--Private For-profit
