universityid,level,institution_type,specific_college_type
204194,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
204200,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
204255,2-year,Public,Associates--Public Rural-serving Medium
204264,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
204307,2-year,Private for-profit,Associates--Private For-profit
204316,4-year,Private for-profit,Associates--Private For-profit
204422,2-year,Public,Associates--Public Rural-serving Medium
204440,2-year,Public,Associates--Public Rural-serving Medium
204468,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
204486,4-year,Private not-for-profit,Associates--Private Not-for-profit 4-year Primarily Associates
204501,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
204592,2-year,Private not-for-profit,Associates--Private Not-for-profit
204608,2-year,Private for-profit,Associates--Private For-profit
204617,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
204626,2-year,Private for-profit,Associates--Private For-profit
204635,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
204662,2-year,Public,Associates--Public 2-year colleges under 4-year universities
204671,4-year,Public,Baccalaureate Colleges--Diverse Fields
204680,4-year,Public,Baccalaureate/Associates Colleges
204699,4-year,Public,Baccalaureate/Associates Colleges
204705,4-year,Public,Baccalaureate/Associates Colleges
204796,4-year,Public,Research Universities--very high research activity
204802,4-year,Public,Associates--Public 4-year Primarily Associates
204820,4-year,Public,Associates--Public 4-year Primarily Associates
204839,4-year,Public,Associates--Public 4-year Primarily Associates
204848,4-year,Public,Associates--Public 4-year Primarily Associates
204857,4-year,Public,Research Universities--high research activity
204866,4-year,Public,Associates--Public 4-year Primarily Associates
204884,2-year,Private for-profit,Associates--Private For-profit
204909,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
204936,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
204945,2-year,Public,Associates--Public Urban-serving Multicampus
205027,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
205054,2-year,Private for-profit,Associates--Private For-profit
205179,4-year,Private for-profit,Associates--Private For-profit
205203,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
205391,2-year,Private for-profit,Associates--Private For-profit
205443,4-year,Public,Baccalaureate Colleges--Arts & Sciences
205470,2-year,Public,Associates--Public Urban-serving Single Campus
205513,2-year,Private for-profit,Associates--Private For-profit
205522,2-year,Private for-profit,Associates--Private For-profit
205559,2-year,Private for-profit,Associates--Private For-profit
205568,2-year,Private for-profit,Associates--Private For-profit
205610,4-year,Private for-profit,Associates--Private For-profit
205647,4-year,Private for-profit,Associates--Private For-profit
205708,2-year,Private for-profit,Associates--Private For-profit
205726,2-year,Private for-profit,Associates--Private For-profit
205841,2-year,Public,Associates--Public Rural-serving Large
205887,2-year,Private for-profit,Associates--Private For-profit
205957,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
205966,2-year,Public,Associates--Public Rural-serving Medium
206002,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
206011,2-year,Public,Associates--Public Rural-serving Medium
206048,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
206084,4-year,Public,Research Universities--high research activity
206093,2-year,Private for-profit,Associates--Private For-profit
206224,2-year,Private for-profit,Associates--Private For-profit
206279,4-year,Private not-for-profit,Doctoral/Research Universities
206330,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
206349,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
206394,2-year,Private for-profit,Associates--Private For-profit
206437,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
206446,2-year,Public,Associates--Public Rural-serving Medium
206491,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
206507,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
206525,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
206589,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
206604,4-year,Public,Research Universities--high research activity
206613,4-year,Public,Associates--Public 2-year colleges under 4-year universities
206622,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
206631,4-year,Private for-profit,Associates--Private For-profit
206695,4-year,Public,Masters Colleges and Universities--larger programs
206817,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
206835,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
206862,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
206914,4-year,Public,Masters Colleges and Universities--smaller programs
206923,2-year,Public,Associates--Public Rural-serving Medium
206941,4-year,Public,Masters Colleges and Universities--larger programs
206996,2-year,Public,Associates--Public Rural-serving Medium
207041,4-year,Public,Masters Colleges and Universities--larger programs
207050,2-year,Public,Associates--Public Rural-serving Small
207069,2-year,Public,Associates--Public Suburban-serving Single Campus
207157,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
207209,4-year,Public,Masters Colleges and Universities--smaller programs
207236,2-year,Public,Associates--Public Rural-serving Medium
207254,4-year,Private for-profit,Other technology-related schools
207263,4-year,Public,Masters Colleges and Universities--larger programs
207281,2-year,Public,Associates--Public Rural-serving Medium
207290,2-year,Public,Associates--Public Rural-serving Medium
207306,4-year,Public,Masters Colleges and Universities--smaller programs
207324,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
207351,4-year,Public,Baccalaureate Colleges--Diverse Fields
207388,4-year,Public,Research Universities--high research activity
207397,4-year,Public,Associates--Public 4-year Primarily Associates
207403,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
207449,2-year,Public,Associates--Public Urban-serving Single Campus
207458,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
207500,4-year,Public,Research Universities--very high research activity
207564,4-year,Public,Associates--Public 4-year Primarily Associates
207582,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
207625,2-year,Private for-profit,Associates--Private For-profit
207661,4-year,Public,Baccalaureate/Associates Colleges
207670,2-year,Public,Associates--Public Suburban-serving Single Campus
207689,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
207722,4-year,Public,Baccalaureate Colleges--Arts & Sciences
207740,2-year,Public,Associates--Public Rural-serving Medium
207847,4-year,Public,Masters Colleges and Universities--medium programs
207856,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
207865,4-year,Public,Masters Colleges and Universities--medium programs
207935,2-year,Public,Associates--Public Urban-serving Multicampus
207962,2-year,Private for-profit,Associates--Private For-profit
207971,4-year,Private not-for-profit,Doctoral/Research Universities
208035,2-year,Public,Associates--Public Rural-serving Medium
208239,4-year,Private for-profit,Schools of art- music- and design
208275,2-year,Public,Associates--Public Rural-serving Medium
208318,2-year,Public,Associates--Public Rural-serving Medium
208390,2-year,Public,Associates--Public Rural-serving Large
208406,2-year,Public,Associates--Public Suburban-serving Multicampus
208415,2-year,Public,Associates--Public Rural-serving Medium
208479,2-year,Private for-profit,Associates--Private For-profit
208488,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
208646,4-year,Public,Masters Colleges and Universities--smaller programs
208725,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
208822,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
208965,4-year,Private for-profit,Other technology-related schools
209038,2-year,Public,Associates--Public Rural-serving Large
209056,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
209065,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
209074,2-year,Public,Associates--Public Rural-serving Large
209108,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
209241,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
209250,2-year,Public,Associates--Public Suburban-serving Single Campus
209287,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
209409,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
209506,4-year,Public,Baccalaureate Colleges--Diverse Fields
209533,4-year,Private not-for-profit,Schools of art- music- and design
209542,4-year,Public,Research Universities--very high research activity
209551,4-year,Public,Research Universities--very high research activity
209603,4-year,Private not-for-profit,Schools of art- music- and design
209612,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
209746,2-year,Public,Associates--Public Urban-serving Multicampus
209807,4-year,Public,Research Universities--high research activity
209825,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
209922,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
209940,2-year,Public,Associates--Public Rural-serving Large
210076,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
210146,4-year,Public,Masters Colleges and Universities--larger programs
210155,2-year,Public,Associates--Public Rural-serving Medium
210234,2-year,Public,Associates--Public Rural-serving Medium
210270,2-year,Public,Associates--Public Rural-serving Medium
210304,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
210331,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
210359,2-year,Private for-profit,Associates--Private For-profit
210401,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
210429,4-year,Public,Masters Colleges and Universities--medium programs
210492,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
210571,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
210605,2-year,Public,Associates--Public Urban-serving Multicampus
210669,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
210739,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
210775,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
210890,2-year,Private for-profit,Associates--Private For-profit
210906,4-year,Private for-profit,Associates--Private For-profit
210942,4-year,Private for-profit,Schools of art- music- and design
210960,4-year,Private for-profit,Schools of art- music- and design
211024,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
211079,2-year,Public,Associates--Public Suburban-serving Single Campus
211088,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
211149,2-year,Private not-for-profit,Associates--Private Not-for-profit
211158,4-year,Public,Masters Colleges and Universities--larger programs
211200,2-year,Private for-profit,Associates--Private For-profit
211273,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
211291,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
211307,2-year,Public,Associates--Public Suburban-serving Multicampus
211316,2-year,Private for-profit,Associates--Private For-profit
211343,2-year,Public,Associates--Public Suburban-serving Single Campus
211352,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
211361,4-year,Public,Masters Colleges and Universities--larger programs
211398,2-year,Private for-profit,Associates--Private For-profit
211431,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
211440,4-year,Private not-for-profit,Research Universities--very high research activity
211468,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
211477,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
211556,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
211583,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
211608,4-year,Public,Masters Colleges and Universities--smaller programs
211617,2-year,Private for-profit,Associates--Private For-profit
211644,4-year,Public,Masters Colleges and Universities--larger programs
211820,2-year,Private for-profit,Associates--Private For-profit
211893,4-year,Private not-for-profit,Schools of art- music- and design
211909,2-year,Private for-profit,Associates--Private For-profit
211927,2-year,Public,Associates--Public Suburban-serving Single Campus
211981,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
212009,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
212045,2-year,Private for-profit,Associates--Private For-profit
212054,4-year,Private not-for-profit,Research Universities--high research activity
212072,2-year,Private for-profit,Associates--Private For-profit
212090,2-year,Private for-profit,Associates--Private For-profit
212106,4-year,Private not-for-profit,Research Universities--high research activity
212115,4-year,Public,Masters Colleges and Universities--larger programs
212133,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
212160,4-year,Public,Masters Colleges and Universities--larger programs
212197,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
212425,2-year,Private for-profit,Associates--Private For-profit
212434,2-year,Private for-profit,Associates--Private For-profit
212577,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
212601,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
212656,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
212674,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
212832,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
212869,2-year,Private not-for-profit,Associates--Private Not-for-profit
212878,2-year,Public,Associates--Public Urban-serving Multicampus
212911,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
212975,2-year,Private not-for-profit,Associates--Private Not-for-profit
212984,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
212993,2-year,Private for-profit,Associates--Private For-profit
213002,2-year,Private for-profit,Associates--Private For-profit
213011,4-year,Private not-for-profit,Doctoral/Research Universities
213020,4-year,Public,Doctoral/Research Universities
213233,2-year,Private not-for-profit,Associates--Private Not-for-profit
213251,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
213303,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
213321,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
213349,4-year,Public,Masters Colleges and Universities--larger programs
213358,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
213367,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
213376,2-year,Private not-for-profit,Associates--Private Not-for-profit
213385,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
213400,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
213473,2-year,Private for-profit,Associates--Private For-profit
213507,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
213525,2-year,Public,Associates--Public Suburban-serving Single Campus
213534,2-year,Private for-profit,Associates--Private For-profit
213543,4-year,Private not-for-profit,Research Universities--high research activity
213570,2-year,Private for-profit,Associates--Private For-profit
213589,2-year,Private for-profit,Associates--Private For-profit
213598,4-year,Public,Masters Colleges and Universities--larger programs
213613,4-year,Public,Masters Colleges and Universities--smaller programs
213659,2-year,Public,Associates--Public Suburban-serving Single Campus
213668,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
213774,2-year,Private not-for-profit,Associates--Private Not-for-profit
213783,4-year,Public,Masters Colleges and Universities--medium programs
213826,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
213914,2-year,Private for-profit,Associates--Private For-profit
213987,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
213996,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
214023,2-year,Private not-for-profit,Associates--Private Not-for-profit
214041,4-year,Public,Masters Colleges and Universities--larger programs
214069,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
214111,2-year,Public,Associates--Public Suburban-serving Multicampus
214148,4-year,Private not-for-profit,Schools of art- music- and design
214157,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
214166,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
214175,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
214272,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
214290,2-year,Private for-profit,Associates--Private For-profit
214379,2-year,Public,Associates--Public Suburban-serving Multicampus
214528,2-year,Private not-for-profit,Associates--Private Not-for-profit
214582,2-year,Private not-for-profit,Associates--Private Not-for-profit
214591,4-year,Public,Masters Colleges and Universities--smaller programs
214625,4-year,Public,Baccalaureate Colleges--Diverse Fields
214634,4-year,Public,Baccalaureate Colleges--Diverse Fields
214643,4-year,Public,Baccalaureate Colleges--Diverse Fields
214652,4-year,Public,Baccalaureate Colleges--Diverse Fields
214670,4-year,Public,Baccalaureate Colleges--Diverse Fields
214689,4-year,Public,Baccalaureate Colleges--Diverse Fields
214698,4-year,Public,Baccalaureate Colleges--Arts & Sciences
214704,4-year,Public,Baccalaureate Colleges--Diverse Fields
214713,4-year,Public,Masters Colleges and Universities--larger programs
214731,4-year,Public,Baccalaureate Colleges--Diverse Fields
214740,4-year,Public,Baccalaureate/Associates Colleges
214759,4-year,Public,Baccalaureate/Associates Colleges
214768,4-year,Public,Baccalaureate Colleges--Arts & Sciences
214777,4-year,Public,Research Universities--very high research activity
214786,4-year,Public,Baccalaureate Colleges--Arts & Sciences
214795,4-year,Public,Baccalaureate/Associates Colleges
214801,4-year,Public,Baccalaureate Colleges--Arts & Sciences
214810,4-year,Public,Baccalaureate Colleges--Diverse Fields
214829,4-year,Public,Baccalaureate Colleges--Diverse Fields
214838,2-year,Private for-profit,Associates--Private For-profit
214883,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
214892,2-year,Private for-profit,Associates--Private For-profit
214944,2-year,Private for-profit,Associates--Private For-profit
214971,4-year,Private not-for-profit,Schools of art- music- and design
215053,4-year,Private not-for-profit,Schools of art- music- and design
215062,4-year,Private not-for-profit,Research Universities--very high research activity
215099,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
215105,4-year,Private not-for-profit,Schools of art- music- and design
215114,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
215132,4-year,Private not-for-profit,Other health professions schools
215239,2-year,Public,Associates--Public Urban-serving Single Campus
215266,4-year,Public,Baccalaureate Colleges--Diverse Fields
215275,4-year,Public,Baccalaureate Colleges--Arts & Sciences
215284,4-year,Public,Baccalaureate Colleges--Diverse Fields
215293,4-year,Public,Research Universities--very high research activity
215309,2-year,Public,Associates--Public 2-year colleges under 4-year universities
215381,2-year,Private not-for-profit,Associates--Private Not-for-profit
215390,2-year,Private not-for-profit,Associates--Private Not-for-profit
215415,2-year,Private for-profit,Associates--Private For-profit
215433,2-year,Private for-profit,Associates--Private For-profit
215442,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
215585,2-year,Public,Associates--Public Rural-serving Medium
215637,4-year,Private for-profit,Other special-focus institutions
215646,2-year,Private for-profit,Associates--Private For-profit
215655,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
215682,2-year,Private not-for-profit,Associates--Private Not-for-profit
215691,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
215743,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
215770,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
215798,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
215929,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
215947,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
215992,2-year,Private for-profit,Associates--Private For-profit
216010,4-year,Public,Masters Colleges and Universities--larger programs
216038,4-year,Public,Masters Colleges and Universities--larger programs
216047,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
216083,2-year,Private for-profit,Associates--Private For-profit
216278,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
216287,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
216296,2-year,Public,Associates--Public Rural-serving Small
216311,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
216339,4-year,Public,Research Universities--high research activity
216357,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
216418,2-year,Private for-profit,Associates--Private For-profit
216427,2-year,Private for-profit,Associates--Private For-profit
216436,2-year,Private for-profit,Associates--Private For-profit
216445,2-year,Private for-profit,Associates--Private For-profit
216454,2-year,Private for-profit,Associates--Private For-profit
216524,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
216542,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
216551,2-year,Private not-for-profit,Not applicable- not in Carnegie universe
216597,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
216667,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
216694,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
216764,4-year,Public,Masters Colleges and Universities--larger programs
216782,2-year,Private for-profit,Associates--Private For-profit
216807,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
216825,2-year,Public,Associates--Public Suburban-serving Single Campus
216852,4-year,Private not-for-profit,Doctoral/Research Universities
216931,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
217013,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
217059,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
217077,2-year,Private for-profit,Associates--Private For-profit
217086,2-year,Private for-profit,Associates--Private For-profit
217156,4-year,Private not-for-profit,Research Universities--very high research activity
217165,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
217235,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
217305,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
217402,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
217420,4-year,Public,Masters Colleges and Universities--larger programs
217475,2-year,Public,Associates--Public Urban-serving Multicampus
217484,4-year,Public,Research Universities--high research activity
217493,4-year,Private not-for-profit,Schools of art- music- and design
217518,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
217536,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
217606,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
217615,2-year,Public,Associates--Public Rural-serving Medium
217624,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
217633,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
217688,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
217712,2-year,Public,Associates--Public Rural-serving Medium
217721,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
217749,4-year,Private for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
217776,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
217819,4-year,Public,Masters Colleges and Universities--medium programs
217837,2-year,Public,Associates--Public Rural-serving Small
217864,4-year,Public,Masters Colleges and Universities--larger programs
217873,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
217882,4-year,Public,Research Universities--high research activity
217891,4-year,Private not-for-profit,Associates--Private Not-for-profit
217907,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
217925,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
217934,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
217961,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
217989,2-year,Public,Associates--Public Rural-serving Small
217998,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
218025,2-year,Public,Associates--Public Rural-serving Medium
218043,2-year,Private for-profit,Associates--Private For-profit
218061,4-year,Public,Masters Colleges and Universities--smaller programs
218070,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
218113,2-year,Public,Associates--Public Urban-serving Multicampus
218140,2-year,Public,Associates--Public Rural-serving Medium
218229,4-year,Public,Baccalaureate Colleges--Diverse Fields
218238,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
218353,2-year,Public,Associates--Public Urban-serving Multicampus
218399,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
218414,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
218441,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
218487,2-year,Public,Associates--Public Rural-serving Medium
218520,2-year,Public,Associates--Public Rural-serving Medium
218539,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
218645,4-year,Public,Baccalaureate Colleges--Diverse Fields
218654,4-year,Public,Baccalaureate Colleges--Diverse Fields
218663,4-year,Public,Research Universities--very high research activity
218672,2-year,Public,Associates--Public 2-year colleges under 4-year universities
218681,2-year,Public,Associates--Public 2-year colleges under 4-year universities
218690,2-year,Public,Associates--Public 2-year colleges under 4-year universities
218706,2-year,Public,Associates--Public 2-year colleges under 4-year universities
218724,4-year,Public,Masters Colleges and Universities--smaller programs
218733,4-year,Public,Doctoral/Research Universities
218742,4-year,Public,Baccalaureate Colleges--Diverse Fields
218821,2-year,Private not-for-profit,Associates--Private Not-for-profit
218830,2-year,Public,Associates--Public Urban-serving Single Campus
218858,2-year,Public,Associates--Public Rural-serving Medium
218885,2-year,Public,Associates--Public Suburban-serving Single Campus
218894,2-year,Public,Associates--Public Urban-serving Multicampus
218919,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
218955,2-year,Public,Associates--Public Rural-serving Small
218964,4-year,Public,Masters Colleges and Universities--larger programs
218973,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
218991,2-year,Public,Associates--Public Suburban-serving Single Campus
219000,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
219046,4-year,Public,Masters Colleges and Universities--smaller programs
219055,2-year,Private not-for-profit,Associates--Private Not-for-profit
219082,4-year,Public,Masters Colleges and Universities--smaller programs
219091,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
219143,2-year,Public,Associates--Public Rural-serving Small
219189,2-year,Public,Associates--Public Rural-serving Small
219198,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
219204,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
219213,4-year,Private for-profit,Baccalaureate/Associates Colleges
219259,4-year,Public,Baccalaureate Colleges--Diverse Fields
219277,4-year,Public,Tribal Colleges
219295,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
219347,4-year,Public,Schools of engineering
219356,4-year,Public,Research Universities--high research activity
219374,4-year,Private not-for-profit,Tribal Colleges
219383,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
219408,2-year,Public,Tribal Colleges
219426,2-year,Public,Associates--Public Rural-serving Medium
219471,4-year,Public,Research Universities--high research activity
219480,2-year,Public,Associates--Public Rural-serving Small
219505,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
219578,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
219602,4-year,Public,Masters Colleges and Universities--larger programs
219639,4-year,Private not-for-profit,Other health professions schools
219709,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
219718,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
219790,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
219806,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
219824,2-year,Public,Associates--Public Rural-serving Large
219833,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
219879,2-year,Public,Associates--Public Rural-serving Medium
219888,2-year,Public,Associates--Public Rural-serving Medium
219903,2-year,Private for-profit,Associates--Private For-profit
219949,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
219976,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
220002,4-year,Private for-profit,Associates--Private For-profit
220057,2-year,Public,Associates--Public Rural-serving Medium
220075,4-year,Public,Doctoral/Research Universities
220118,2-year,Private for-profit,Associates--Private For-profit
220181,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
220206,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
220215,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
220312,4-year,Private not-for-profit,Associates--Private Not-for-profit
220400,2-year,Public,Associates--Public Rural-serving Medium
220464,2-year,Private not-for-profit,Associates--Private Not-for-profit
220473,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
220516,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
220552,4-year,Private for-profit,Baccalaureate/Associates Colleges
220598,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
220604,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
220613,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
220631,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
220701,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
220710,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
220808,4-year,Private not-for-profit,Schools of art- music- and design
220862,4-year,Public,Research Universities--high research activity
220941,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
