universityid,med_sat_value,med_sat_percentile,grad_100_value,grad_100_percentile,passing_rate
126687,701,34,30.1,36,65.7
126702,759,12,23.3,56,48.3
126711,804,31,75.3,20,35.9
126748,701,94,31.3,94,40.6
126775,789,98,41.2,83,91.9
126784,826,31,82.5,96,94.1
126818,531,81,37.0,79,85.9
126827,682,71,9.3,20,40.6
126863,717,7,12.8,65,53.2
126872,648,100,31.8,33,42.1
126924,702,67,20.0,21,64.3
126942,850,31,5.0,24,52.9
126951,568,39,38.7,50,74.6
127024,778,28,26.4,64,75.0
127060,846,86,66.5,83,86.8
127185,686,58,17.3,36,65.0
127200,812,10,10.0,52,57.2
127389,590,10,23.1,88,57.9
127556,781,27,13.3,23,65.3
127565,666,28,5.7,5,65.8
127617,692,77,32.2,94,58.2
127653,603,46,19.7,14,58.3
127680,778,26,20.0,48,0.0
127699,596,83,0.0,0,51.9
127714,825,13,0.0,0,0.0
127732,786,27,27.3,92,58.8
127741,657,51,26.5,61,66.3
127778,532,91,25.4,90,53.1
127787,789,30,46.6,59,70.1
127820,604,24,8.2,44,53.1
127839,561,46,63.4,80,61.8
127884,803,30,15.9,74,59.9
127909,699,72,14.7,71,57.3
127918,842,61,42.5,49,81.9
127945,810,52,38.0,84,66.3
128106,560,25,18.1,38,62.6
128179,832,68,63.0,79,85.4
128188,752,13,52.0,67,79.3
128258,819,49,33.9,95,57.9
128391,626,40,22.5,52,68.4
128498,772,2,0.0,0,92.6
128577,641,65,16.5,76,75.6
128683,728,66,20.8,52,34.8
128744,686,9,18.7,12,63.6
128771,549,40,20.1,43,76.8
128902,532,67,79.3,92,88.3
129020,506,94,68.3,98,93.9
129154,640,40,61.5,76,54.1
129215,794,47,32.2,72,78.1
129242,791,85,78.9,92,87.0
129367,848,82,2.8,9,51.7
129525,798,49,50.8,63,72.5
129543,522,44,2.7,8,61.6
129695,797,47,4.2,17,60.7
129729,700,79,2.5,7,60.2
129756,816,80,5.6,28,62.4
129774,579,64,30.8,30,64.8
129808,763,47,3.7,13,61.4
129941,745,42,44.2,53,76.4
130004,647,42,1.6,3,67.0
130040,545,74,2.6,7,55.3
130110,809,57,50.0,90,93.3
130183,578,0,26.1,63,39.5
130217,849,79,6.6,33,48.4
130226,534,65,72.4,88,85.2
130253,650,91,63.4,80,81.0
130314,769,15,37.0,41,77.1
130396,551,28,2.1,4,59.0
130448,645,46,53.4,79,25.0
130493,791,12,17.9,38,75.2
130590,784,87,81.4,93,90.9
130606,815,83,1.0,1,61.6
130697,799,95,86.2,96,95.1
130776,828,57,21.0,47,74.3
130794,588,100,89.6,99,98.7
130891,588,48,13.8,68,59.2
130907,823,90,7.7,39,54.4
130916,707,17,4.4,19,59.8
130934,640,7,18.1,38,65.2
130943,551,88,68.4,98,91.9
130989,580,95,29.6,28,55.1
131098,744,2,10.8,5,52.5
131113,541,32,31.4,32,63.9
131159,672,89,75.9,90,88.2
131283,540,70,61.9,79,82.6
131308,646,58,41.8,48,90.2
131399,655,96,5.7,5,58.3
131450,802,2,15.5,8,68.9
131469,833,91,75.6,90,92.3
131496,795,96,88.0,98,96.0
131520,506,59,39.6,45,81.5
131742,588,84,31.1,38,55.9
131803,722,30,18.2,44,50.8
131876,837,9,14.9,8,55.2
132338,791,59,26.8,65,66.7
132408,511,53,18.4,11,83.3
132471,659,11,21.6,15,60.0
132602,693,2,22.7,17,63.0
132657,682,13,32.6,34,69.2
132693,676,46,38.0,61,88.5
132709,746,36,20.9,71,41.1
132806,565,33,23.0,26,78.6
132842,724,29,13.0,6,100.0
132851,545,15,43.6,14,57.6
132879,744,20,6.5,3,74.7
132903,629,88,35.9,77,87.1
133021,802,51,49.5,54,22.5
133085,772,37,43.9,52,58.3
133386,561,24,73.5,13,45.9
133465,524,26,10.0,23,26.1
133492,804,74,58.9,75,83.2
133508,620,23,71.3,68,21.8
133526,579,1,1.1,0,50.9
133553,609,66,33.6,35,77.8
133650,537,18,11.7,18,81.5
133669,598,57,15.1,30,76.5
133702,544,43,65.5,61,62.1
133711,782,64,46.3,56,66.9
133809,815,52,9.2,4,67.2
133845,632,29,28.6,35,70.5
133854,619,23,62.5,78,71.3
133863,568,16,62.6,78,63.9
133872,581,5,0.0,0,71.4
133881,708,77,38.7,44,79.7
133951,661,85,20.5,45,83.5
133960,756,70,16.0,74,58.2
133979,637,91,22.9,17,68.8
133997,803,73,36.7,81,55.6
134079,699,65,47.0,57,77.8
134097,593,92,56.6,93,91.7
134112,734,85,63.0,73,91.0
134121,563,20,27.9,53,86.1
134130,653,97,65.2,97,96.5
134149,678,75,44.4,88,21.7
134237,643,43,80.5,96,50.2
134343,663,60,29.5,52,64.6
134495,824,28,6.5,33,62.6
134510,625,79,45.0,54,66.7
134608,509,23,35.4,13,25.6
134680,747,47,20.7,51,60.0
134811,819,54,29.3,70,53.7
134909,538,33,10.0,23,53.3
134945,651,32,24.3,19,71.7
135063,612,77,14.3,7,50.0
135081,750,71,59.3,76,73.5
135124,747,90,6.3,5,68.3
135160,834,63,33.8,73,75.8
135188,502,62,72.2,32,70.2
135364,814,21,50.0,62,66.7
135391,685,56,28.1,48,38.4
135717,553,17,54.1,19,76.5
135726,847,93,70.8,87,91.3
135939,563,72,44.4,53,51.0
135957,664,14,50.9,65,57.4
136066,696,94,60.5,76,60.0
136145,843,37,27.4,92,66.7
136172,665,83,21.2,48,81.7
136206,756,12,28.1,25,71.4
136215,705,60,25.0,20,71.1
136233,550,36,73.4,28,86.2
136288,588,69,33.3,75,100.0
136330,522,52,40.0,45,73.3
136358,530,17,24.6,16,48.6
136400,646,39,19.3,82,63.8
136473,542,29,23.9,25,74.8
136516,506,29,22.8,26,34.4
136774,589,35,56.0,71,77.9
136950,599,84,60.8,77,83.4
137032,665,90,30.7,30,69.0
137078,704,42,59.2,57,32.0
137096,824,52,72.3,25,32.7
137148,639,77,58.3,73,0.0
137209,795,37,21.7,12,55.8
137281,519,20,46.9,32,59.7
137315,677,60,33.5,62,57.7
137351,511,87,35.6,77,88.8
137476,521,7,27.9,24,61.8
137546,620,80,56.4,72,78.1
137564,776,16,24.0,19,68.7
137759,587,96,13.6,68,58.7
137801,803,31,37.5,82,50.0
137810,515,68,0.0,0,58.4
137847,610,57,50.6,63,75.1
137953,783,4,28.6,26,47.2
137962,507,49,19.4,13,60.7
138187,512,67,22.3,38,39.1
138275,713,7,26.1,22,49.2
138293,518,9,1.7,0,52.5
138309,603,24,23.8,58,71.4
138354,575,63,20.2,44,70.0
138558,712,9,55.9,85,60.4
138600,677,6,66.1,83,82.8
138655,662,94,73.8,90,63.0
138682,614,81,30.9,94,54.9
138691,588,71,5.4,27,56.2
138716,742,6,16.0,33,69.7
138761,780,0,13.7,15,44.3
138789,577,37,10.2,16,67.4
138813,807,5,13.9,33,42.4
138840,828,71,10.9,57,54.1
138868,673,14,33.3,35,48.4
138901,534,41,58.3,78,80.0
138947,563,5,21.5,15,65.1
138956,639,48,15.3,72,56.4
139010,844,65,4.9,22,55.1
139074,708,64,18.2,44,0.0
139144,729,82,50.1,62,79.4
139153,719,59,9.1,4,96.3
139199,572,17,29.6,28,66.9
139205,576,6,9.8,4,59.7
139214,631,20,10.0,11,25.0
139250,658,16,55.5,79,57.4
139278,576,72,11.9,61,55.0
139287,819,80,0.0,0,78.6
139311,738,16,8.8,11,72.7
139357,584,51,8.6,47,45.5
139366,516,31,12.1,19,66.5
139384,751,4,10.0,52,51.3
139393,569,80,47.8,58,84.7
139463,826,33,7.8,8,71.2
139579,778,31,8.7,18,45.0
139621,548,61,20.0,49,68.5
139630,558,72,30.7,30,64.1
139658,558,94,83.8,95,94.4
139700,577,19,1.3,2,64.7
139719,820,65,7.9,9,58.6
139755,729,99,40.9,83,95.5
139764,663,19,15.2,30,65.0
139861,669,81,38.8,81,84.6
139904,706,23,23.8,88,55.1
139931,601,74,25.5,60,80.5
139940,589,63,21.4,48,82.3
139959,797,95,56.8,93,94.2
139968,501,2,59.8,82,100.0
139986,572,100,12.8,65,48.4
139995,752,32,61.5,74,67.3
140003,696,54,23.6,26,63.3
140012,638,83,9.2,49,54.7
140164,826,64,15.4,31,75.6
140234,673,27,30.8,30,61.1
140243,576,5,12.3,63,61.5
140252,506,20,21.7,16,69.2
140331,671,23,5.5,28,49.7
140340,558,38,9.7,22,31.6
140447,580,80,44.0,52,82.0
140553,578,26,38.8,44,80.1
140599,587,52,28.5,93,54.9
140678,833,60,17.3,78,49.7
140696,585,73,54.7,70,79.4
140720,657,1,3.9,1,67.6
140818,727,29,40.0,45,70.2
140872,569,33,20.5,14,60.1
140942,671,55,18.3,81,53.9
140951,608,58,46.7,57,80.7
140960,818,2,8.3,10,70.2
140988,741,16,33.0,34,70.8
141006,612,68,23.8,88,59.6
141060,619,37,59.9,76,88.1
141097,520,80,10.0,15,72.4
141158,640,2,22.9,88,57.6
141167,785,13,14.3,7,47.1
141185,716,28,35.2,38,75.1
141237,720,13,10.5,5,64.0
141255,711,32,15.2,72,51.3
141264,683,56,15.7,32,68.9
141325,713,23,58.3,74,66.1
141334,825,19,17.2,36,71.5
141361,558,23,57.9,73,61.4
141468,714,79,41.5,53,56.9
141486,805,21,26.9,23,73.0
141565,723,25,8.2,10,69.8
141574,706,71,18.6,39,77.9
141644,687,30,18.7,12,68.8
141680,682,22,2.8,9,61.3
141796,554,100,2.6,7,65.9
141802,717,27,4.6,20,64.6
141811,781,25,1.5,3,64.7
141839,618,24,55.6,66,53.3
141981,633,7,6.2,5,67.7
141990,616,3,3.5,12,60.5
142054,606,14,11.8,13,67.6
142090,536,22,23.1,17,66.0
142115,505,59,10.9,17,71.3
142179,820,57,35.4,96,62.2
142276,817,67,11.4,18,68.5
142285,773,65,24.9,58,78.6
142294,515,55,53.6,68,88.0
142328,722,15,8.6,11,59.8
142337,792,87,7.1,13,57.1
142443,724,85,12.0,62,54.8
142461,504,58,31.8,33,76.0
142522,645,43,21.6,15,67.5
142559,581,6,7.4,38,56.3
142887,511,53,32.3,74,81.5
143048,560,71,31.4,32,81.9
143084,755,16,73.6,89,85.1
143118,614,33,43.6,51,73.5
143215,758,59,11.5,59,64.3
143279,763,71,9.9,51,58.7
143288,712,42,33.7,36,73.3
143358,650,79,54.9,70,88.1
143613,654,72,11.7,61,50.7
144005,636,8,4.0,2,53.6
144050,599,100,87.9,98,99.3
144157,810,100,21.4,86,49.6
144166,756,0,3.3,11,38.2
144175,816,64,0.9,1,44.5
144184,783,26,3.2,10,45.4
144193,558,64,2.1,4,47.2
144209,809,76,1.4,2,51.2
144218,685,3,2.2,5,57.1
144281,677,12,31.9,33,66.6
144351,684,39,44.8,54,67.3
144467,761,26,23.0,26,65.8
144485,602,7,36.6,47,66.4
144564,675,19,18.9,82,56.3
144740,650,79,54.2,69,85.4
144865,818,76,4.3,18,68.3
144883,749,57,7.0,3,29.8
144892,774,43,33.6,74,77.1
144944,610,52,11.2,58,76.7
144962,693,60,59.1,75,78.2
144971,665,49,43.4,51,64.1
145239,765,96,1.1,0,82.4
145372,639,41,41.0,47,72.9
145460,610,8,21.1,52,33.3
145497,759,35,3.2,1,21.8
145521,710,65,20.8,85,61.4
145600,839,74,29.9,69,79.8
145619,749,39,37.9,42,73.2
145637,838,99,68.4,98,93.1
145646,620,88,72.1,88,87.6
145682,675,62,7.9,41,60.5
145691,707,37,55.8,71,81.3
145707,523,95,30.6,94,68.7
145725,847,89,31.5,32,86.0
145770,585,43,0.0,0,36.4
145813,519,78,46.4,88,81.6
145831,569,75,11.9,61,62.9
146010,681,30,13.3,31,39.1
146205,655,88,13.1,66,59.4
146278,518,31,17.9,80,60.7
146296,797,29,4.0,15,63.7
146339,713,45,32.1,33,72.3
146348,619,66,8.0,42,69.3
146366,627,89,33.0,95,55.0
146393,677,25,23.6,57,56.5
146418,525,90,7.8,40,59.6
146427,759,41,71.0,87,88.1
146472,850,73,4.3,18,65.0
146481,822,78,58.4,74,82.2
146506,600,91,18.7,81,65.2
146603,686,34,4.1,16,65.9
146612,645,61,44.8,54,81.7
146667,739,27,31.4,32,67.1
146676,816,3,53.6,81,42.5
146685,850,78,12.1,62,60.2
146700,727,50,21.6,23,69.0
146719,716,83,59.7,76,85.4
146755,717,54,0.0,0,48.7
146816,713,95,0.0,0,29.6
146825,553,18,28.0,25,67.1
147004,837,37,8.5,46,67.5
147013,536,46,31.5,32,74.7
147129,540,39,53.8,77,67.9
147165,685,55,37.3,77,47.4
147244,822,61,48.0,59,76.5
147341,573,48,56.7,72,75.9
147369,564,37,64.6,81,77.8
147378,556,72,6.0,31,68.4
147396,775,47,77.4,87,88.1
147411,607,57,4.5,20,71.7
147536,652,14,28.6,26,72.2
147660,739,0,51.1,64,78.8
147679,744,2,39.1,44,80.6
147703,614,43,26.5,61,66.5
147749,623,96,34.0,45,35.4
147767,515,99,86.2,96,97.7
147776,774,7,4.1,2,61.0
147800,820,78,4.7,20,71.3
147828,704,66,48.9,60,75.4
147916,568,94,6.8,34,53.6
148007,591,89,3.8,14,46.1
148131,717,47,39.3,45,67.2
148140,685,3,45.0,57,73.9
148177,588,55,20.2,50,49.8
148256,709,21,41.6,97,59.0
148292,848,55,14.1,69,64.8
148335,515,21,76.4,91,47.2
148380,631,43,4.7,20,66.1
148399,811,76,11.7,13,46.2
148405,544,39,24.6,20,58.1
148487,662,42,27.0,23,58.3
148496,816,41,50.3,63,82.5
148584,598,55,31.8,33,79.1
148627,644,32,30.0,28,75.5
148654,828,71,28.5,66,74.3
148672,567,65,19.8,84,65.2
148821,582,1,15.9,74,38.7
148849,611,44,50.0,62,85.7
148876,589,67,51.4,76,62.4
148937,795,53,11.1,58,60.4
148991,746,8,10.8,57,59.3
149222,548,56,23.4,54,60.4
149231,779,59,27.8,65,69.3
149310,678,87,0.0,0,64.0
149365,788,81,11.0,57,50.8
149505,583,49,48.5,60,74.3
149514,640,48,35.2,38,69.4
