state_b5,program_type_b5,grad_100,grad_100_rate,state_b1,state_abbrevation_b1,organization_type_b1,level_b1,year_b1,gender_b1,race_b1,state_b2,state_abbrevation_b2,organization_type_b2,level_b2,university_count,counted_pct,awards_per_state_value_b2,state_b3,student count,awards_per_value,awards_per_state_value_b3,fte_value,city,state_b4,level_b4,institution_type,specific_college_type,website,universityid_pub,med_sat_value,med_sat_percentile,grad_100_value,grad_100_percentile,passing_rate_med,universityid_priv,year,gender_b6,race_b6,program_type_b6,passing_rate_b6
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2013,Both Gender,American Indian,Colorado,CO,Private not-for-profit,4-year,10,65.5,25.3,Alabama,2834,23.7,15.9,2409,Rainsville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.nacc.edu,101897,0,0,9.5,50,61.4,100760,2013,Male,Unspecified,2y all,91
Alabama,4y bach,8,13.8,Alabama,AL,Private for-profit,4-year,2013,Both Gender,Black,Colorado,CO,Private for-profit,4-year,16,54.7,24.7,Alabama,1861,16.9,17.8,1777,Huntsville,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.oakwood.edu,101912,924,9,18.8,12,78.8,100760,2013,Female,Unspecified,2y all,315
Alabama,4y bach,1,20,Alabama,AL,Private for-profit,4-year,2013,Both Gender,Hispanic,Colorado,CO,Public,2-year,14,22.7,13.5,Alabama,1349,19.5,15.9,1124,Monroeville,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.ascc.edu,101949,0,0,17.1,77,56.7,100760,2013,Both Gender,White,2y all,180
Alabama,4y bach,20,26.7,Alabama,AL,Private for-profit,4-year,2013,Both Gender,White,Colorado,CO,Private not-for-profit,2-year,0,0,0,Alabama,102,9,3.2,133,Montgomery,Alabama,2-year,Private for-profit,Associates--Private For-profit,princeinstitute.edu,101958,0,0,15.8,17,83.3,100760,2013,Male,White,2y all,162
Alabama,4y bach,37,18.7,Alabama,AL,Private for-profit,4-year,2013,Both Gender,Unspecified,Colorado,CO,Private for-profit,2-year,17,90,33.7,Alabama,517,25,15.9,673,Evergreen,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.rstc.edu,101994,0,0,19,82,48.8,100760,2013,Female,White,2y all,131
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2013,Female,Asian,Connecticut,CT,Public,4-year,5,67.4,23.9,Alabama,3896,11.3,15.9,2822,Mobile,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,www.bishop.edu,102030,0,0,7.2,37,41.2,100760,2013,Both Gender,Black,2y all,323
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2013,Female,American Indian,Connecticut,CT,Private not-for-profit,4-year,15,80.6,21.8,Alabama,3013,19.9,17.8,3100,Birmingham,Alabama,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.samford.edu,102049,1153,77,48.9,60,86.7,100760,2013,Male,Black,2y all,97
Alabama,4y bach,7,17.5,Alabama,AL,Private for-profit,4-year,2013,Female,Black,Connecticut,CT,Private for-profit,4-year,3,46.2,12.1,Alabama,582,5.2,17.8,433,Selma,Alabama,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,selmauniversity.org,102058,0,0,2,0,42,100760,2013,Female,Black,2y all,135
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2013,Female,Hispanic,Connecticut,CT,Public,2-year,12,37.2,15.1,Alabama,5068,10.7,15.9,4106,Tuscaloosa,Alabama,2-year,Public,Associates--Public Rural-serving Large,www.sheltonstate.edu,102067,0,0,4.3,18,58.5,100760,2013,Both Gender,Hispanic,2y all,282
Alabama,4y bach,6,18.2,Alabama,AL,Private for-profit,4-year,2013,Female,White,Connecticut,CT,Private not-for-profit,2-year,0,0,0,Alabama,2295,20.7,15.9,2023,Boaz,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.snead.edu,102076,0,0,7,36,59.4,100760,2013,Male,Hispanic,2y all,130
Alabama,4y bach,16,16.7,Alabama,AL,Private for-profit,4-year,2013,Female,Unspecified,Connecticut,CT,Private for-profit,2-year,0,0,0,Alabama,11307,17.3,18.8,10289,Mobile,Alabama,4-year,Public,Research Universities--high research activity,www.southalabama.edu,102094,1064,64,14.1,26,67.9,100760,2013,Female,Hispanic,2y all,364
Alabama,4y bach,1,50,Alabama,AL,Private for-profit,4-year,2013,Male,Asian,Delaware,DE,Public,4-year,2,90,20.7,Alabama,1292,18.5,17.8,1225,Mobile,Alabama,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.shc.edu,102234,1100,65,47.1,58,75.6,100760,2013,Both Gender,American Indian,2y all,85
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2013,Male,American Indian,Delaware,DE,Private not-for-profit,4-year,4,43.6,24.4,Alabama,161,18.7,17.8,149,Birmingham,Alabama,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.sebc.edu,102261,970,20,8,3,64.3,100760,2013,Male,American Indian,2y all,230
Alabama,4y bach,1,5.6,Alabama,AL,Private for-profit,4-year,2013,Male,Black,Delaware,DE,Private for-profit,4-year,1,0,16,Alabama,863,11.8,17.8,940,Tuscaloosa,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.stillman.edu,102270,882,5,16.9,10,61.2,100760,2013,Female,American Indian,2y all,216
Alabama,4y bach,1,33.3,Alabama,AL,Private for-profit,4-year,2013,Male,Hispanic,Delaware,DE,Public,2-year,3,56,16,Alabama,932,13.1,17.8,542,Talladega,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.talladega.edu,102298,0,0,82.4,94,32.9,100760,2013,Both Gender,Asian,2y all,383
Alabama,4y bach,14,33.3,Alabama,AL,Private for-profit,4-year,2013,Male,White,Delaware,DE,Private not-for-profit,2-year,1,90.8,31.1,Alabama,1351,17.7,15.9,1275,Montgomery,Alabama,2-year,Public,Associates--Public Rural-serving Small,www.trenholmstate.edu,102313,0,0,19.8,84,49.8,100760,2013,Male,Asian,2y all,380
Alabama,4y bach,21,20.6,Alabama,AL,Private for-profit,4-year,2013,Male,Unspecified,Delaware,DE,Private for-profit,2-year,0,0,0,Alabama,16316,21.4,18.8,13261,Troy,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.troy.edu,102368,0,0,13.3,23,73.9,100760,2013,Female,Asian,2y all,163
Alabama,4y bach,14,53.8,Alabama,AL,Private not-for-profit,4-year,2011,Both Gender,Asian,District of Columbia,DC,Public,4-year,1,45.6,16.5,Alabama,2584,13.9,17.8,2606,Tuskegee,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.tuskegee.edu,102377,937,12,16.7,9,72.4,101028,2011,Both Gender,Unspecified,2y all,104
Alabama,4y bach,5,35.7,Alabama,AL,Private not-for-profit,4-year,2011,Both Gender,American Indian,District of Columbia,DC,Private not-for-profit,4-year,8,55.4,22.6,Alabama,3490,16.6,15.9,2970,Jasper,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.bscc.edu,102429,0,0,6.3,32,58.1,101028,2011,Male,Unspecified,2y all,214
Alabama,4y bach,276,12.3,Alabama,AL,Private not-for-profit,4-year,2011,Both Gender,Black,District of Columbia,DC,Private for-profit,4-year,3,2,16.5,Alaska,16380,16.1,16.3,11469,Anchorage,Alaska,4-year,Public,Masters Colleges and Universities--larger programs,www.uaa.alaska.edu,102553,0,0,8.7,11,70.6,101028,2011,Female,Unspecified,2y all,316
Alabama,4y bach,15,32.6,Alabama,AL,Private not-for-profit,4-year,2011,Both Gender,Hispanic,District of Columbia,DC,Public,2-year,0,0,0,Alaska,7989,16.6,16.3,5545,Fairbanks,Alaska,4-year,Public,Research Universities--high research activity,www.uaf.edu,102614,0,0,14.1,26,76.9,101028,2011,Both Gender,White,2y all,250
Alabama,4y bach,791,45.5,Alabama,AL,Private not-for-profit,4-year,2011,Both Gender,White,District of Columbia,DC,Private not-for-profit,2-year,0,0,0,Alaska,2645,16.2,16.3,1544,Juneau,Alaska,4-year,Public,Masters Colleges and Universities--smaller programs,www.uas.alaska.edu,102632,0,0,4.1,2,71.6,101028,2011,Male,White,2y all,163
Alabama,4y bach,1152,26.5,Alabama,AL,Private not-for-profit,4-year,2011,Both Gender,Unspecified,District of Columbia,DC,Private for-profit,2-year,0,0,0,Alaska,387,22.9,22.9,342,Anchorage,Alaska,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.alaskapacific.edu,102669,1008,31,25,20,66.7,101028,2011,Female,White,2y all,277
Alabama,4y bach,10,58.8,Alabama,AL,Private not-for-profit,4-year,2011,Female,Asian,Florida,FL,Public,4-year,36,44.1,23.9,Alaska,2191,34.2,34.2,2983,Anchorage,Alaska,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.chartercollege.edu,102845,0,0,21.9,54,43.3,101028,2011,Both Gender,Black,2y all,174
Alabama,4y bach,3,37.5,Alabama,AL,Private not-for-profit,4-year,2011,Female,American Indian,Florida,FL,Private not-for-profit,4-year,47,56.6,24.2,Alaska,471,5.1,9.1,263,Valdez,Alaska,2-year,Public,Associates--Public Rural-serving Medium,www.pwscc.edu,103361,0,0,15.4,72,40,101028,2011,Male,Black,2y all,64
Alabama,4y bach,208,18,Alabama,AL,Private not-for-profit,4-year,2011,Female,Black,Florida,FL,Private for-profit,4-year,48,65.8,18.1,Arizona,2761,27,32.8,2008,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,www.everestcollegephoenix.edu,103644,0,0,15.3,38,0,101028,2011,Female,Black,2y all,395
Alabama,4y bach,12,46.2,Alabama,AL,Private not-for-profit,4-year,2011,Female,Hispanic,Florida,FL,Public,2-year,5,47.7,21.5,Arizona,676,73.6,32.8,573,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit,www.carrington.edu,103893,0,0,0,0,0,101028,2011,Both Gender,Hispanic,2y all,390
Alabama,4y bach,534,51.1,Alabama,AL,Private not-for-profit,4-year,2011,Female,White,Florida,FL,Private not-for-profit,2-year,1,53.5,22.1,Arizona,691,60.4,36.8,767,Mesa,Arizona,2-year,Private for-profit,Not applicable- not in Carnegie universe,www.carrington.edu,103909,0,0,10.6,11,71.8,101028,2011,Male,Hispanic,2y all,320
Alabama,4y bach,794,33.3,Alabama,AL,Private not-for-profit,4-year,2011,Female,Unspecified,Florida,FL,Private for-profit,2-year,39,79.6,34.7,Arizona,440,76.4,36.8,379,Tucson,Arizona,2-year,Private for-profit,Not applicable- not in Carnegie universe,www.carrington.edu,103927,0,0,4,2,72.7,101028,2011,Female,Hispanic,2y all,377
Alabama,4y bach,4,44.4,Alabama,AL,Private not-for-profit,4-year,2011,Male,Asian,Georgia,GA,Public,4-year,23,61.7,18.4,Arizona,209,24.8,21.7,401,Flagstaff,Arizona,4-year,Private not-for-profit,Associates--Private For-profit,www.collegeamerica.edu,103945,0,0,0,0,65.2,101028,2011,Both Gender,American Indian,2y all,100
Alabama,4y bach,2,33.3,Alabama,AL,Private not-for-profit,4-year,2011,Male,American Indian,Georgia,GA,Private not-for-profit,4-year,30,74,21.7,Arizona,828,18.4,32.8,736,Phoenix,Arizona,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.brooklinecollege.edu,104090,0,0,37.5,82,44.7,101028,2011,Male,American Indian,2y all,357
Alabama,4y bach,68,6.2,Alabama,AL,Private not-for-profit,4-year,2011,Male,Black,Georgia,GA,Private for-profit,4-year,15,41,18,Arizona,38730,23.7,22,38789,Tempe,Arizona,4-year,Public,Research Universities--very high research activity,www.asu.edu/,104151,1145,83,37.7,80,84.4,101028,2011,Female,American Indian,2y all,357
Alabama,4y bach,3,15,Alabama,AL,Private not-for-profit,4-year,2011,Male,Hispanic,Georgia,GA,Public,2-year,28,36.1,17.2,Arizona,8000,20.7,20.4,5538,Yuma,Arizona,2-year,Public,Associates--Public Rural-serving Large,www.azwestern.edu,104160,0,0,10.2,53,62.5,101028,2011,Both Gender,Asian,2y all,191
Alabama,4y bach,257,37.1,Alabama,AL,Private not-for-profit,4-year,2011,Male,White,Georgia,GA,Private not-for-profit,2-year,2,94.8,34,Arizona,31670,21.3,22,30837,Tucson,Arizona,4-year,Public,Research Universities--very high research activity,www.arizona.edu,104179,1106,77,39.9,82,81.5,101028,2011,Male,Asian,2y all,111
Alabama,4y bach,358,18.3,Alabama,AL,Private not-for-profit,4-year,2011,Male,Unspecified,Georgia,GA,Private for-profit,2-year,8,90.1,32.6,Arizona,216,12.7,32.8,277,Tucson,Arizona,4-year,Private for-profit,Schools of art- music- and design,www.suva.edu,104188,0,0,10,23,84.6,101028,2011,Female,Asian,2y all,304
Alabama,4y bach,11,52.4,Alabama,AL,Private not-for-profit,4-year,2012,Both Gender,Asian,Hawaii,HI,Public,4-year,4,39.1,22.7,Arizona,6445,20.2,20.4,4893,Coolidge,Arizona,2-year,Public,Associates--Public Suburban-serving Multicampus,www.centralaz.edu,104346,0,0,18.3,81,49.3,101028,2012,Both Gender,Unspecified,2y all,364
Alabama,4y bach,4,26.7,Alabama,AL,Private not-for-profit,4-year,2012,Both Gender,American Indian,Hawaii,HI,Private not-for-profit,4-year,5,38.2,21.6,Arizona,684,27,32.8,685,Tucson,Arizona,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.brownmackie.edu,104364,0,0,20,48,0,101028,2012,Male,Unspecified,2y all,336
